"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.451188785E1,-5.294926763E-1,-2.956614733E0,1.505997753E1
1.461188785E1,4.694131613E-1,1.321823835E0,1.314132404E1
1.471188785E1,-2.905962169E-1,5.946598649E-1,7.152527809E0
1.481188785E1,-2.397942543E0,1.872714639E0,1.107924366E1
1.491188785E1,-3.167977810E0,1.203460455E0,6.989647388E0
1.501188785E1,1.138966680E0,1.728763223E0,6.124143600E0
1.511188785E1,-1.383025527E0,-2.028861523E0,1.071248150E1
1.521188785E1,-4.165686607E0,-5.488034248E0,1.038455105E1
1.531188785E1,-3.147028446E0,-4.403086603E-1,9.553688049E0
1.541188785E1,1.295337915E0,1.634416699E0,2.194659948E0
1.551188785E1,1.737142920E0,2.751910448E0,8.707561493E0
1.561188785E1,5.820902810E-2,1.481262684E0,7.928698063E0
1.571188785E1,-1.774327874E0,-4.011784196E-1,6.501379967E0
1.581188785E1,-2.701332808E0,3.937937975E0,7.857321262E0
1.591188785E1,1.583165824E-1,1.603366971E0,1.261198139E1
1.601188785E1,-1.219097614E0,2.285041094E0,1.304997063E1
1.611188785E1,-2.234239101E0,5.717653036E-1,6.000842094E0
1.621188785E1,-2.569951057E0,1.486948848E0,9.940575600E0
1.631188785E1,-1.269899487E0,2.228852212E-1,6.254851818E0
1.641188785E1,-3.408071280E0,-4.433088779E0,1.526221275E1
1.651188785E1,-2.080710977E-1,-1.003320143E-1,9.473482132E0
1.661188785E1,5.821052551E0,5.273378849E0,2.169820070E0
1.671188785E1,1.719635367E0,6.539013863E0,-3.127425909E-2
1.681188785E1,-5.188160419E0,-1.678260565E0,1.397084045E1
1.691188785E1,-6.125116348E0,1.139191151E0,1.133572197E1
1.701188785E1,-4.420444489E0,1.651400566E0,9.373075485E0
1.711188785E1,7.158663273E-1,7.930045128E-1,8.481833458E0
1.721188785E1,1.232041240E0,-2.612971783E0,1.174213791E1
1.731188785E1,-1.468767881E0,5.654954910E0,2.222941399E0
1.741188785E1,3.752163053E-1,5.257068157E0,5.073388100E0
1.751188785E1,-4.181996822E0,4.367921650E-1,8.102203369E0
1.761188785E1,-7.572411299E-1,2.406097889E0,1.275211692E0
1.771188785E1,-8.140285611E-1,9.376217842E0,1.039382815E0
1.781188785E1,1.374197006E0,-1.543437123E0,8.123376846E0
1.791188785E1,-3.380313516E-1,-2.277334690E0,9.370680809E0
1.801188785E1,-5.781922340E0,2.691905737E0,1.476197433E1
1.811188785E1,2.521692991E0,1.048959643E-1,3.883320332E0
1.821188785E1,7.115941525E0,1.919850540E1,-2.224213362E0
1.831188785E1,9.784802794E-1,-4.197783947E0,1.022219372E1
1.841188785E1,-7.451952994E-2,-3.850549698E0,1.935914040E1
1.851188785E1,-1.836053371E0,7.821782112E0,-3.353378773E-1
1.861188785E1,1.593640447E-2,7.989152074E-1,3.063006878E0
1.871188785E1,-6.890961170E0,-5.520205975E0,1.119955158E1
1.881188785E1,-3.707645893E0,4.446032524E0,8.484152794E0
1.891188785E1,-3.320009470E0,7.141454816E-1,1.418534565E1
1.901188785E1,1.041141033E1,2.691456795E0,7.048754215E0
1.911188785E1,2.470666409E0,3.218704939E0,4.886790276E0
1.921188785E1,-2.176478952E-1,1.644666910E0,1.125858402E1
1.931188785E1,2.516006708E0,7.279570103E0,-2.760664225E0
1.941188785E1,-1.194407344E0,7.828889847E0,8.381950259E-1
1.951188785E1,-7.327678680E0,6.274978161E0,4.764461517E0
1.961188785E1,-8.297704697E0,1.665017605E0,8.669928551E0
1.971188785E1,-6.330942631E0,-5.967473030E0,2.104166603E1
1.981188785E1,-1.123778462E0,2.080486536E0,1.094142723E1
1.991188785E1,-1.748739839E0,2.727092934E1,-2.342576683E-1
2.001188785E1,9.573814273E-1,-9.041777611E0,1.664000130E1
2.011188785E1,-4.068421841E0,1.043542767E1,7.647229671E0
2.021188785E1,-4.746280193E0,-2.922796488E0,8.412700653E0
2.031188785E1,-2.540247917E0,-7.839364529E0,1.572833443E1
2.041188785E1,1.492635161E-1,8.060528755E0,9.478120804E0
2.051188785E1,-2.772635221E0,-1.166582298E1,2.162225914E1
2.061188785E1,8.186598778E0,-1.004876423E1,1.479190159E1
2.071188785E1,-3.317615271E0,-6.827140808E0,1.342346573E1
2.081188785E1,5.416881442E-1,-5.612158179E-1,8.042273521E0
2.091188785E1,-3.007790804E0,-5.848585963E-1,1.477521706E1
2.101188785E1,7.502081394E-1,-5.117830753E0,1.021306610E1
2.111188785E1,2.743605614E0,-1.310226917E1,1.721812630E1
2.121188785E1,3.791068792E-1,-9.785326958E0,1.641487122E1
2.131188785E1,-2.925190687E0,-3.725751877E0,1.922102547E1
2.141188785E1,-2.999710321E0,1.165931320E1,-3.249904394E0
2.151188785E1,-1.213935137E0,8.892663956E0,-2.255487680E0
2.161188785E1,1.492485523E0,-4.737452030E0,1.778749657E1
2.171188785E1,-2.687267065E0,5.348796248E-1,1.766868401E1
2.181188785E1,4.648941040E0,-8.727687836E0,1.235842037E1
2.191188785E1,2.904615641E0,-2.366069794E0,7.574356556E0
2.201188785E1,-3.085826635E0,4.012831688E0,3.858031511E0
2.211188785E1,-2.731185675E0,6.677578092E-1,7.746589184E0
2.221188785E1,2.553266525E0,-1.132457376E0,2.499845743E0
2.231188785E1,-2.591573715E0,3.707196951E0,1.373149514E0
2.241188785E1,-1.787944913E0,1.084782887E1,-3.654000759E0
2.251188785E1,-1.681103706E0,7.070376724E-2,-1.379808331E1
2.261188785E1,2.291475534E0,-1.187464142E1,3.060470581E1
2.271188785E1,-5.700594425E0,7.403245926E0,1.282850647E1
2.281188785E1,-3.996072292E0,-1.018755245E1,1.726369095E1
2.291188785E1,-3.715127707E0,9.794230461E0,-8.661922455E0
2.301188785E1,-2.888305187E0,4.056675434E0,7.074940681E0
2.311188785E1,-2.997016907E0,-5.207089424E0,1.748380661E1
2.321188785E1,5.865045786E-1,9.181539536E0,6.852878571E0
2.331188785E1,-2.474632025E0,-8.385168076E0,4.722862244E0
2.341188785E1,-4.021585464E0,3.623279953E1,-1.911455727E1
2.351188785E1,4.416703701E0,1.128499508E1,2.214965820E1
2.361188785E1,1.490615010E0,3.661161041E1,-9.898153305E0
2.371188785E1,-3.124433160E-1,-4.689567566E0,1.835821533E1
2.381188785E1,1.487996340E0,-5.073537827E0,9.079112053E0
2.391188785E1,-9.501988068E-3,7.595305443E0,9.584214211E0
2.401188785E1,1.974393368E0,-9.015516281E0,1.347703648E1
2.411188785E1,-3.452887774E0,3.186233521E0,5.002385139E0
2.421188785E1,-6.359673023E0,1.006574726E1,4.191424370E0
2.431188785E1,-3.807528973E0,5.580435276E0,5.601384640E0
2.441188785E1,-1.313444138E0,7.623288035E-1,1.143268681E1
2.451188785E1,7.283610702E-1,8.035539627E0,1.030554175E0
2.461188785E1,7.162404060E-1,8.822484016E0,4.288389206E0
2.471188785E1,-1.236081481E0,-1.205106497E0,1.419148064E1
2.481188785E1,2.123208046E0,1.228524804E0,3.088968992E0
2.491188785E1,-6.664783955E0,-1.611522198E0,1.162048244E1
2.501188785E1,-9.953893423E-1,5.651063919E-1,8.617554665E0
2.511188785E1,2.808099270E0,-3.160196543E0,6.219238281E0
2.521188785E1,1.832911015E0,-1.656637907E0,9.244312286E0
2.531188785E1,-3.541398525E0,-5.071966648E-1,1.381200027E1
2.541188785E1,-1.086443782E0,-1.224260092E0,8.804302216E0
2.551188785E1,2.217479706E0,3.838578701E0,-1.092130065E0
2.561188785E1,2.849848270E-1,4.129249573E0,5.309890270E0
2.571188785E1,-1.078064084E0,-2.832340717E0,1.342137146E1
2.581188785E1,-2.686818123E0,-5.645826817E0,2.118606567E1
2.591188785E1,-8.297405243E-1,3.724031210E0,1.037055969E1
2.601188785E1,-3.595417500E0,6.573131084E0,7.801132202E0
2.611188785E1,-3.123236179E0,-3.652579069E0,2.153816414E1
2.621188785E1,-2.795679331E0,-1.448491961E-1,9.277681351E0
2.631188785E1,-2.091933727E0,1.678485036E0,9.372551918E0
2.641188785E1,7.494599223E-1,5.055282116E0,1.846602917E0
2.651188785E1,-3.831994534E0,-5.738377571E0,1.428358269E1
2.661188785E1,-1.970053911E0,-5.178957462E0,2.105438614E1
2.671188785E1,7.082347870E-1,2.939331532E0,1.136422825E1
2.681188785E1,-1.526378393E0,2.245611668E0,1.123000336E1
2.691188785E1,1.363797188E0,-1.378087521E0,5.469927788E0
2.701188785E1,1.208622932E0,5.119252205E0,5.183297157E0
2.711188785E1,-2.789170265E0,-5.654805183E0,1.374533653E1
2.721188785E1,-7.205799222E-1,3.051784277E0,6.836942196E0
2.731188785E1,-1.391031146E0,6.915277481E0,3.317390919E0
2.741188785E1,4.739397049E0,-3.892373323E0,8.980575562E0
2.751188785E1,2.795454979E0,3.282899380E0,5.421220779E0
2.761188785E1,-2.453308553E-1,4.013206005E0,1.264677238E1
2.771188785E1,-3.292775452E-1,-2.021903276E0,7.931541443E0
2.781188785E1,4.981435835E-1,3.737199306E-1,1.355679321E1
2.791188785E1,-6.835445762E-1,1.588852048E0,1.091142464E1
2.801188785E1,-8.866028190E-1,-2.420463085E0,1.270116520E1
2.811188785E1,-2.630254984E0,-2.004395723E-1,9.948506355E0
2.821188785E1,-1.846453190E0,5.745859623E0,8.233136177E0
2.831188785E1,3.407996595E-1,1.803956151E0,1.225531960E1
2.841188785E1,-2.217629254E-1,1.231367826E0,9.498920441E0
2.851188785E1,-4.654327869E0,-2.255113602E0,2.255525017E1
