"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.382946884E1,7.182329297E-1,-6.758154929E-2,2.238284796E-1
1.392946884E1,3.217701018E-1,-9.939050674E-2,-4.429272413E-1
1.402946884E1,1.514672637E-1,-2.548880279E-1,-2.987710536E-1
1.412946884E1,-4.160478413E-1,-6.316826344E-1,4.460082352E-1
1.422946884E1,-6.290180087E-1,-5.066117644E-1,1.158812046E0
1.432946884E1,-1.452220511E-2,-2.883456945E-1,1.006245613E0
1.442946884E1,2.447457910E-1,1.435566545E-1,2.513407171E-1
1.452946884E1,7.006630898E-1,2.621990740E-1,-2.029111832E-1
1.462946884E1,-7.572530210E-2,3.094128966E-1,-3.304967284E-1
1.472946884E1,-2.201146632E-1,2.633815110E-1,-4.209107757E-1
1.482946884E1,-1.488692611E-1,-2.631316893E-2,-5.220332742E-1
1.492946884E1,1.369284093E-1,-2.369017899E-1,-2.600174248E-1
1.502946884E1,-1.187090352E-1,1.200913042E-1,-4.442928731E-1
1.512946884E1,1.840756088E-1,-2.634980679E-1,4.443261772E-2
1.522946884E1,3.837226331E-1,-8.694837093E-1,1.138927221E0
1.532946884E1,-9.069716930E-2,-6.370784640E-1,1.448922992E0
1.542946884E1,-6.120143533E-1,-2.969391271E-2,1.693319082E0
1.552946884E1,-5.698966235E-2,1.272857934E-1,1.001499176E0
1.562946884E1,3.431870043E-1,1.783966273E-1,-2.013956755E-1
1.572946884E1,6.519004703E-1,1.017387062E-1,-5.754756927E-1
1.582946884E1,-8.993108571E-2,1.550145447E-1,-7.965396047E-1
1.592946884E1,-6.286183000E-1,4.545017183E-1,-6.142293215E-1
1.602946884E1,-1.745662242E-1,-7.897281647E-2,-2.253939509E-1
1.612946884E1,-2.438964397E-1,-3.974287808E-1,1.231389716E-1
1.622946884E1,-4.303202331E-1,-3.639877439E-1,3.271826208E-1
1.632946884E1,-2.563036084E-1,-3.870367408E-1,8.739969134E-1
1.642946884E1,6.274025440E-1,-3.831397295E-1,1.226743340E0
1.652946884E1,-5.389536619E-1,-2.463945150E-1,7.605504990E-1
1.662946884E1,-3.704327941E-1,2.168838084E-1,-1.873897314E-1
1.672946884E1,-3.281485438E-1,2.873298228E-1,-1.151134610E0
1.682946884E1,1.143956706E-1,3.418880105E-1,-9.901245832E-1
1.692946884E1,-2.982214689E-1,-3.330281377E-1,-4.327517152E-1
1.702946884E1,-6.169605851E-1,-1.668221653E-1,-2.848650515E-1
1.712946884E1,1.314326227E-1,7.561538815E-1,-2.065583766E-1
1.722946884E1,3.595078290E-1,1.298504919E-1,-4.578824639E-1
1.732946884E1,8.443529718E-3,-1.137961298E-1,-4.005264044E-1
1.742946884E1,-6.223397851E-1,-1.515172273E-1,-4.350000024E-1
1.752946884E1,-3.393899202E-1,-3.371916115E-1,-2.821171582E-1
1.762946884E1,-3.640543520E-1,-6.558308005E-2,1.031526208E0
1.772946884E1,-1.259851217E0,-1.313493401E-1,4.726211727E-1
1.782946884E1,3.622557521E-1,3.095294833E-1,-5.748927966E-2
1.792946884E1,1.004130483E0,-5.482465401E-2,-7.006464005E-1
1.802946884E1,9.098027945E-1,-5.172702670E-1,-1.612431109E-1
1.812946884E1,5.250143409E-1,-2.237618715E-1,4.801986814E-1
1.822946884E1,-9.677750468E-1,6.592781544E-1,-8.035009503E-1
1.832946884E1,8.657699227E-1,4.197283685E-1,-8.261002898E-1
1.842946884E1,1.018003225E0,1.602105610E-2,-4.060055315E-1
1.852946884E1,-7.686443329E-1,-3.351431787E-1,-2.763881981E-1
1.862946884E1,-8.838227391E-2,-3.717151582E-1,9.564170837E-1
1.872946884E1,7.155350447E-1,-1.215451956E0,6.404924989E-1
1.882946884E1,4.270061105E-2,-4.803485870E-1,6.343972087E-1
