"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.402624214E1,5.233363639E1,4.868428216E0,2.811464332E0,4.473660469E0,1.003714447E2,6.302649975E0,3.000000000E0
6.501375846E1,5.233361387E1,4.868491830E0,1.982969626E0,3.466165066E0,1.533847961E2,4.929323673E0,3.000000000E0
6.602008495E1,5.233356960E1,4.868525451E0,1.654404915E0,3.711623669E0,1.746935425E2,4.888167858E0,3.000000000E0
6.702064766E1,5.233352879E1,4.868531334E0,1.822963696E0,4.222848892E0,1.849095154E2,4.646442890E0,3.000000000E0
6.801579239E1,5.233348688E1,4.868527726E0,1.264310456E0,4.345333099E0,1.874061890E2,4.715623856E0,3.000000000E0
6.902030049E1,5.233344058E1,4.868529371E0,1.313791213E0,4.594366074E0,1.806652679E2,4.715479851E0,3.000000000E0
7.001699503E1,5.233338997E1,4.868535726E0,1.401197269E0,4.460439205E0,1.817608795E2,4.646155357E0,3.000000000E0
7.101655244E1,5.233334701E1,4.868529721E0,1.510422992E0,4.506290436E0,1.817995300E2,5.087970734E0,3.000000000E0
7.202082881E1,5.233330603E1,4.868529000E0,1.228737491E0,4.504659653E0,1.795086823E2,4.645963192E0,3.000000000E0
7.301649304E1,5.233326366E1,4.868535769E0,1.359945457E0,4.782118797E0,1.764262543E2,4.645868301E0,3.000000000E0
7.401791426E1,5.233322471E1,4.868538033E0,1.232190238E0,4.674235344E0,1.758141785E2,4.645771980E0,3.000000000E0
7.501975744E1,5.233318202E1,4.868536625E0,1.112259976E0,4.632279873E0,1.772217102E2,4.645676613E0,3.000000000E0
7.601619905E1,5.233314395E1,4.868535406E0,8.590773466E-1,4.539038181E0,1.817353210E2,4.645580769E0,3.000000000E0
7.702468135E1,5.233310343E1,4.868534014E0,7.891375938E-1,4.552724838E0,1.805220337E2,4.645485401E0,3.000000000E0
7.801783089E1,5.233306348E1,4.868535106E0,7.902458626E-1,4.596187115E0,1.801130524E2,4.645389557E0,3.000000000E0
7.901947135E1,5.233302364E1,4.868536241E0,6.970272086E-1,4.422782421E0,1.791595764E2,4.645293713E0,3.000000000E0
8.001937976E1,5.233298436E1,4.868540568E0,7.442160573E-1,4.465276241E0,1.771898804E2,4.127683163E0,3.000000000E0
8.102319731E1,5.233294591E1,4.868539315E0,7.977255982E-1,4.277780056E0,1.819951477E2,4.334129810E0,3.000000000E0
8.201478219E1,5.233290744E1,4.868536670E0,6.974470611E-1,4.501835346E0,1.819270020E2,4.503403664E0,3.000000000E0
8.301813053E1,5.233286965E1,4.868535021E0,6.704130100E-1,4.168713093E0,1.819753876E2,4.644911766E0,3.000000000E0
8.402237785E1,5.233283183E1,4.868536895E0,5.732865231E-1,4.387115955E0,1.781024933E2,4.333885670E0,3.000000000E0
8.501521187E1,5.233279367E1,4.868539880E0,5.382419222E-1,4.214907169E0,1.742774200E2,4.333804131E0,3.000000000E0
8.602147620E1,5.233275616E1,4.868542147E0,5.574341065E-1,4.034446716E0,1.800289307E2,4.644625664E0,3.000000000E0
8.701750147E1,5.233271956E1,4.868541417E0,5.573238521E-1,3.990614653E0,1.834161530E2,4.644529819E0,3.000000000E0
8.802706588E1,5.233268508E1,4.868539254E0,5.985136545E-1,3.866009474E0,1.802796021E2,4.333559036E0,3.000000000E0
8.902206242E1,5.233265065E1,4.868539375E0,6.803954565E-1,4.216641903E0,1.781741028E2,4.644340038E0,3.000000000E0
9.002290206E1,5.233261282E1,4.868540945E0,5.206132861E-1,4.323612690E0,1.761046448E2,4.644244194E0,3.000000000E0
9.101979436E1,5.233257396E1,4.868542610E0,5.264139937E-1,4.327763081E0,1.782447357E2,4.644148827E0,3.000000000E0
9.201829863E1,5.233253121E1,4.868542809E0,4.812971643E-1,4.520092964E0,1.823479614E2,4.333232880E0,3.000000000E0
9.302166008E1,5.233249441E1,4.868542182E0,4.170383671E-1,3.826556444E0,1.777506866E2,4.643958569E0,3.000000000E0
9.402655823E1,5.233246828E1,4.868542021E0,4.424235711E-1,2.782208443E0,1.807661743E2,4.333068848E0,3.000000000E0
9.502061186E1,5.233244168E1,4.868542945E0,3.934152754E-1,3.082202673E0,1.818940430E2,4.332986832E0,3.000000000E0
9.601634750E1,5.233241222E1,4.868546735E0,3.729007242E-1,3.209700346E0,1.806324768E2,4.332905293E0,3.000000000E0
9.702684624E1,5.233238087E1,4.868546548E0,3.124934544E-1,3.327885389E0,1.825489807E2,4.332823277E0,3.000000000E0
9.802550233E1,5.233235146E1,4.868542779E0,2.778791658E-1,3.318215370E0,1.815122833E2,5.118006706E0,3.000000000E0
9.901993877E1,5.233232035E1,4.868541163E0,4.357998516E-1,3.397006750E0,1.776501923E2,4.332659721E0,3.000000000E0
1.000313903E2,5.233228892E1,4.868543570E0,5.558739474E-1,3.671460629E0,1.756821747E2,4.332577705E0,3.000000000E0
1.010192879E2,5.233225422E1,4.868546562E0,6.964160781E-1,3.970036030E0,1.715178528E2,4.332495689E0,3.000000000E0
1.020271183E2,5.233221245E1,4.868550634E0,5.377134371E-1,4.791923046E0,1.755519562E2,4.643103123E0,3.000000000E0
1.030236466E2,5.233216584E1,4.868554129E0,4.209141699E-1,5.486105442E0,1.770870514E2,4.332331657E0,3.000000000E0
1.040245857E2,5.233211620E1,4.868552753E0,2.886771101E-1,5.517357826E0,1.803895111E2,4.332249165E0,3.000000000E0
1.050166913E2,5.233206961E1,4.868550082E0,3.678395431E-1,5.150119781E0,1.803213043E2,4.332166672E0,3.000000000E0
1.060237625E2,5.233202458E1,4.868551331E0,4.175507049E-1,4.832762241E0,1.786821442E2,4.332085133E0,3.000000000E0
1.070138665E2,5.233198132E1,4.868558577E0,4.951433352E-1,4.731781960E0,1.743311920E2,4.232028961E0,3.000000000E0
1.080219260E2,5.233194040E1,4.868564020E0,5.937637733E-1,4.534375668E0,1.764940186E2,4.252109528E0,3.000000000E0
1.090271156E2,5.233190140E1,4.868558855E0,6.134144521E-1,4.247128963E0,1.858927307E2,4.477877617E0,3.000000000E0
1.100165235E2,5.233186648E1,4.868552755E0,6.225940509E-1,3.946067095E0,1.815281830E2,4.251901627E0,3.000000000E0
1.110357918E2,5.233183163E1,4.868554250E0,6.215977040E-1,3.931496859E0,1.780720825E2,4.130122662E0,3.000000000E0
1.120163135E2,5.233179410E1,4.868558243E0,5.476430534E-1,4.035004616E0,1.777618103E2,4.251694202E0,3.000000000E0
1.130229640E2,5.233175704E1,4.868562070E0,6.676064494E-1,4.175533295E0,1.812675476E2,4.251590252E0,3.000000000E0
1.140218305E2,5.233171849E1,4.868563090E0,4.860317164E-1,4.028310776E0,1.816193390E2,4.251486301E0,3.000000000E0
1.150348685E2,5.233168118E1,4.868563174E0,3.881882061E-1,4.526864529E0,1.790415802E2,4.477197647E0,3.000000000E0
1.160247532E2,5.233164129E1,4.868560631E0,3.247838093E-2,4.287247181E0,1.720930023E2,5.116208076E0,3.000000000E0
1.170347447E2,5.233160111E1,4.868553101E0,-1.935836546E-1,4.210483074E0,1.927767792E2,5.049818993E0,3.000000000E0
1.180287072E2,5.233156923E1,4.868534185E0,-8.880532515E-1,4.362739086E0,2.070575104E2,4.476857662E0,3.000000000E0
1.189620794E2,5.233153434E1,4.868492819E0,-3.854840142E-1,4.363256931E0,2.037584839E2,4.250966072E0,3.000000000E0
1.199632532E2,5.233149791E1,4.868463881E0,-1.402198012E-1,4.386959076E0,1.912330322E2,5.048452377E0,3.000000000E0
1.209724803E2,5.233146203E1,4.868454894E0,-8.458017500E-2,4.258722305E0,1.907348022E2,4.250757217E0,3.000000000E0
1.219665721E2,5.233142929E1,4.868450215E0,-7.544523694E-2,4.191805840E0,1.877619476E2,5.145473480E0,3.000000000E0
1.229619952E2,5.233139188E1,4.868453721E0,-1.584781510E-1,3.995464325E0,1.903722687E2,5.145045280E0,3.000000000E0
1.239735092E2,5.233135681E1,4.868444947E0,-3.005553854E-1,3.528106451E0,1.876896057E2,4.753318310E0,3.000000000E0
1.249619520E2,5.233132404E1,4.868440559E0,-4.226114960E-3,3.501876116E0,1.824622345E2,5.006986618E0,3.000000000E0
1.259618562E2,5.233129302E1,4.868441549E0,2.498167150E-1,2.920537710E0,1.740697937E2,5.634265900E0,3.000000000E0
1.269698923E2,5.233126964E1,4.868447913E0,8.086479545E-1,3.316812038E0,1.783251801E2,5.247397423E0,3.000000000E0
1.279675168E2,5.233124050E1,4.868450698E0,9.378132283E-1,3.282036781E0,1.736117401E2,5.247405052E0,3.000000000E0
1.289627652E2,5.233121075E1,4.868454321E0,1.018094773E0,3.437159777E0,1.764293060E2,4.713546753E0,3.000000000E0
1.299594481E2,5.233117582E1,4.868464163E0,1.058766130E0,3.448974848E0,1.751102753E2,5.634855270E0,3.000000000E0
1.309684842E2,5.233113947E1,4.868473774E0,6.689263884E-1,3.309088230E0,1.828225708E2,5.635004997E0,3.000000000E0
