"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.946755042E1,-4.635564804E0,-9.591138363E-2,4.683409691E0
1.956755042E1,-5.513145447E0,-5.276247263E-1,1.194876671E0
1.966755042E1,5.115561962E0,1.215139484E1,-1.240781975E1
1.976755042E1,9.145685434E-1,1.190451241E1,-1.520339870E1
1.986755042E1,6.187964916E0,-1.817662430E1,6.037278175E0
1.996755042E1,3.831587076E0,6.741210938E0,-8.828337669E0
2.006755042E1,2.874367714E0,5.632226944E0,-4.670532227E0
2.016755042E1,-7.533434629E-1,-1.200586510E1,1.068181992E-1
2.026755042E1,-8.746357918E0,-2.259652019E-1,2.574872971E0
2.036755042E1,1.816240072E0,8.889587402E0,-1.406069756E0
2.046755042E1,-3.785646200E0,3.233014345E0,-3.585493565E0
2.056755042E1,1.147074223E0,1.926041961E0,-2.691290855E0
2.066755042E1,3.913258076E0,2.314077854E0,-5.712091446E0
2.076755042E1,-1.515277028E0,9.402358055E0,-1.143054485E1
2.086755042E1,1.389117241E0,7.254563570E-1,-3.353872299E0
2.096755042E1,2.343548536E0,-2.833054543E0,3.342473984E0
2.106755042E1,-2.756339073E0,3.802090645E0,-4.757653236E0
2.116755042E1,9.293326139E-1,9.566680908E0,-7.118000031E0
2.126755042E1,5.131621361E-1,2.810162067E0,-3.712478161E0
2.136755042E1,1.038531780E0,1.022221923E0,-4.758075714E0
2.146755042E1,4.503767967E0,-4.392063618E0,3.170797348E0
2.156755042E1,-1.490070820E-1,-1.230340385E1,1.219793224E1
2.166755042E1,-7.521713972E-1,3.287252903E0,-9.674297333E0
2.176755042E1,2.772874355E0,4.804473877E0,-6.520937920E0
2.186755042E1,9.147173762E-1,2.817599535E0,-1.271269798E0
2.196755042E1,1.621100307E-1,-3.780455828E0,4.355622292E0
2.206755042E1,8.818770647E-1,-1.970539570E0,-1.179317474E0
2.216755042E1,1.238141656E0,-7.944750786E0,9.547420502E0
2.226755042E1,-8.763254881E-1,1.030974030E0,-4.072613716E0
2.236755042E1,-3.154641151E0,2.435860157E0,-6.514901638E0
2.246755042E1,1.480808377E0,4.570314884E-1,-2.044143867E1
2.256755042E1,3.315605164E0,1.031380844E1,-6.301561356E0
2.266755042E1,-2.418484449E0,1.732433891E1,-3.840880394E0
2.276755042E1,-2.605340779E-1,-2.842882395E0,-3.580045700E-1
2.286755042E1,7.594893575E-1,5.504909515E0,-6.840823650E0
2.296755042E1,2.826505184E0,-1.195056343E1,1.708005714E1
2.306755042E1,3.733435631E0,-9.431754112E0,2.740131378E0
2.316755042E1,-1.825627923E0,-8.406388760E-1,1.344548225E0
2.326755042E1,1.130865216E0,4.419054031E0,-8.185395241E0
2.336755042E1,-5.504358292E0,-4.688268661E0,9.288131714E0
2.346755042E1,3.317265511E0,-3.094938278E1,1.733339691E1
2.356755042E1,-4.902467251E0,-2.829748154E1,6.100791931E0
2.366755042E1,1.800478697E0,-2.368205261E1,2.282613564E1
2.376755042E1,-4.046905518E0,-5.078169346E0,5.194264412E0
2.386755042E1,1.042111278E0,9.133183956E-1,-1.648219585E0
2.396755042E1,-4.204179049E-1,2.269702673E0,-1.223749161E0
2.406755042E1,1.006619811E0,2.316793203E0,-4.563657284E0
2.416755042E1,-9.121179581E-2,-7.731750011E0,7.711364746E0
2.426755042E1,6.129527092E0,-6.493392467E0,5.982498169E0
2.436755042E1,1.253941536E0,-8.250315666E0,4.215932846E0
2.446755042E1,1.186770439E0,1.575251818E0,-3.779233932E0
