,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
338.5,-0.27587788937732916,-1.0444241968449774,10.975716991175867,0.016031181586480363,0.017704579275203608,-0.01561910184654506,0.1118215779961444,-0.4691067272158471,0.21017031323270652,52.356338354818185,4.920625070860677,3.1775343301942374,4.19708887894085,66.76265537551156,3.7900919914245605,2.5,1,0,0,0,0,0,0.4840060800297283,0.015618105404274989,-0.07431794467047673,-0.1571522303516619,0.05627530584828648,-0.0715564518664933,-0.0941136399009051
339.0,-1.6332568986585008,-2.222480084186352,11.73131647435703,0.037810766679484284,-0.07801610239778771,0.09856223286875213,-0.02960962729962846,-0.42645771490938456,1.3189024642008698,52.356348495282646,4.920654405022698,3.3436953289353917,4.347274726585923,66.19201208280745,3.7900919914245605,2.5,1,0,0,0,0,0,0.4989911547857675,-0.03513536379646665,-0.03741845917045078,-0.40883137281659937,-0.032229971059617,-0.04070066555082521,-0.060105736182101424
339.5,-0.424304291773842,-0.9826744879163751,10.336517151391652,-0.006787855300426866,0.0683275617803082,0.006128930938384375,-0.07594415360288981,-0.4127506920752181,1.6903212205089184,52.3563569828096,4.920683892322512,3.4691962108993692,4.34567000300984,65.68220286739363,3.7900919914245605,2.5,1,0,0,0,0,0,0.47840534107524607,0.01437970804850943,-0.08942403747366452,-0.15603382864235701,0.11250336788845354,0.02685026567435798,-0.10892326759629956
340.0,-0.0773620102380213,-2.0880307838638927,10.999431442573622,-0.005464641059780851,0.007605519154886303,-0.029546195608363912,-0.12867824981460307,-0.32078897403932716,1.017753701903213,52.3563649054621,4.920713430683854,3.5836435725414404,4.299347008814387,65.18084080309352,3.7900919914245605,2.5,1,0,0,0,0,0,0.49382023085691434,-0.03818030418378302,-0.11070624582437229,-0.2764417611403714,0.016288355168331662,-0.1061400307658208,-0.09616197671922659
340.5,-0.5807945173743414,-3.0313186283550553,11.172056487652167,0.01278708279806187,0.006259836707964903,-0.015855908822446457,0.1775854913595547,-0.3939913325686685,0.34677055316581473,52.356372635074536,4.92074171469941,3.5499123719372174,4.176363897652097,65.19733701058826,3.7900919914245605,2.5,1,0,0,0,0,0,0.5031611252423159,-0.06819421199432393,-0.05221891852087681,-0.36378593032515144,0.02592905761851011,-0.20915230168186577,-0.07660173628624324
341.0,-0.044771751473484334,-3.1063009641751615,12.870173959784577,-0.016365744287427327,0.009448424101295861,-0.07933561850164712,0.22497239534373215,0.34964727575974375,-1.0824318463128442,52.35638280978107,4.920769898314826,3.4758987565216084,4.0307963262963105,65.285747299018,3.7900919914245605,2.5,1,0,0,0,0,0,0.5137118013099935,-0.0862589237670314,-0.06134811080473463,-0.3484167962970838,-0.04888098345577486,-0.4514511753469611,-0.03932748041113231
341.5,0.13009468454345932,-1.0239137620169343,11.666297969855417,-0.00016412616151503454,-0.010818621793139138,-0.011010451238502944,0.24049690243177727,0.5886462779284478,-1.5612062529748234,52.3563913090099,4.920799001981924,3.7973189108296683,4.1466245237809405,65.59942279377425,3.7900919914245605,2.5,1,0,0,0,0,0,0.5054437658320076,0.011051766383753027,-0.08545151771908871,-0.05851274139395064,-0.052828734641115815,-0.2791132920161628,0.012232116244695845
342.0,0.3554917446535708,-0.6024660896866545,10.09541789091658,-0.02299353747828643,-0.012159609849008355,-0.021851734993873426,0.22462739050914357,0.3956451784808794,-1.0769309856171798,52.35639923566139,4.920828412426621,4.226238392637498,4.339461648962436,65.94437761951171,3.7900919914245605,2.5,1,0,0,0,0,0,0.4981537602129829,0.03631117097499394,-0.12471718747273504,0.04790151472586176,-0.011278847926707783,-0.1434606924706233,0.014396980184011903
342.5,-0.2913111603212337,-0.6068974059250983,9.29682293995533,0.020202864705168435,-0.04695426662389737,0.003106811967869612,0.19990233167377527,0.096433057727699,-0.40172193495257547,52.356409477704,4.920858560847511,4.652095377045567,4.3645301431448065,66.20756262695667,3.7900919914245605,2.5,1,0,0,0,0,0,0.495516453854603,0.03853877077475741,-0.09265705667958136,0.0179267940805298,0.02102084489736537,-0.012719739665507789,0.03380707598964168
343.0,-0.5409725520424093,-0.9555046067545275,9.081824569581398,-0.01172981262522083,0.016924374533510436,0.03560612023992545,-0.8349025731079326,-0.2955914671818296,-0.9355596894775864,52.35641799994424,4.920888955335625,5.077119816445723,4.3401727776553,66.45939343881878,3.7900919914245605,2.5,1,0,0,0,0,0,0.4978006867812511,0.032268033327217754,-0.11498142454123748,0.003621438701570532,-0.09022952998403976,0.009449834278246288,0.06749736229535278
343.5,-0.15480288466218278,-2.1018079165663077,11.117599315902472,0.014667543145415518,0.020907591018638424,-0.009135737775209832,-1.2099845428318383,-0.3408292356032393,-1.4417536869477654,52.35642593445965,4.920918796185464,5.221350104067279,4.308308282871,65.93461636567172,3.7900919914245605,2.5,1,0,0,0,0,0,0.5128516044352296,-0.053908205156460685,-0.1559470810365169,-0.20043134789642647,-0.17508934205282822,-0.17800885192714827,0.0530063265310808
344.0,-0.6901642275274298,-2.2658568412622824,10.729011854718612,-0.028516645857137646,-0.013920464141490344,0.05488376383531679,-1.3328658076538868,-0.35536826221101464,-1.6113257019982896,52.35643617918967,4.920948134589947,5.289246382063608,4.274232133161381,65.30200295386429,3.7900919914245605,2.5,1,0,0,0,0,0,0.5172017932910391,-0.03805832208162201,-0.12940288967520633,-0.20508985872996813,-0.24741569438160727,-0.13897163334874466,0.09328232475106975
344.5,0.38599377661690704,-2.3010992375163903,11.540109461932856,0.013398752896821561,0.018623109702385437,-0.0765558560542769,-0.24274803536398815,-0.14686964268872918,-0.5718093302671443,52.35644470234831,4.920976987618601,5.1540196866901296,4.214815439813338,65.38638730726734,3.7900919914245605,2.5,1,0,0,0,0,0,0.5064929350412051,-0.08683462635168288,-0.13493802686185757,-0.25135966068951165,-0.0279115044107066,-0.24167293702613046,-0.0010186047090706071
