,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
22.0,0.07549359999999998,1.2919446,7.536374400000001,0.048593199999999996,0.0251974,0.11416739999999995,-2.377587,-1.351279,0.17083099999999998,52.350433,4.925391,4.00052,2.15,220.100006,3.790092,2.5,1,0,0,0,0,0
22.5,2.2899314000000004,0.5709873999999999,11.440444,-0.052899400000000006,0.03316899999999999,0.11456439999999997,-2.0427831999999997,-0.6082016000000001,-0.16646660000000002,,,,,,,,1,0,0,0,0,0
23.0,-0.4448854000000001,-0.3884747999999999,10.623594,-0.00039699999999999865,0.1879882,-0.0860988,0.46214520000000003,-0.23672560000000006,0.2219606,52.35041500000001,4.925371,3.721431,2.42,216.0,3.790092,2.5,1,0,0,0,0,0
23.5,-0.9677174000000001,-1.2669994000000002,11.326725200000002,0.024495,0.021013399999999998,-0.37939720000000005,0.5679148000000002,-0.5121508,0.7050254,,,,,,,,1,0,0,0,0,0
24.0,0.2361716000000002,0.8882754000000002,9.0081998,-0.01886,-0.13087425,0.21673625,0.162968,-0.881517,1.40881,52.350396,4.925356,3.608541,2.27,208.899994,3.790092,2.5,1,0,0,0,0,0
24.5,-0.31393839999999995,2.0522044,7.0063042,0.015637400000000006,0.08170079999999999,-0.1211004,0.349499,-0.5578988,1.056308,,,,,,,,1,0,0,0,0,0
25.0,0.08321039999999998,2.1769304000000003,8.202895,0.0415374,0.122017,-0.3331256,0.7829041999999999,-0.4934664000000001,0.10666119999999994,52.350376,4.925341,3.3608839999999995,2.66,206.699997,3.790092,2.5,1,0,0,0,0,0
25.5,-0.07196419999999995,0.9418748,9.0193264,0.013835599999999995,-0.19449360000000002,0.036956200000000015,-0.3212514,-0.3413594,0.2339328,,,,,,,,1,0,0,0,0,0
26.0,-0.08985040000000001,-0.5192422000000001,11.0214012,0.014278499999999996,-0.02076875,0.03012225,0.219732,-0.202019,0.8216559999999999,52.35035,4.9253160000000005,3.802606,3.6,214.0,3.790092,2.5,1,0,0,0,0,0
26.5,1.4927026,0.2164308,10.6704936,0.004550799999999998,0.10482140000000002,-0.0902526,0.219732,-0.202019,0.8216559999999999,,,,,,,,1,0,0,0,0,0
27.0,-0.8666802,0.27571299999999993,9.883194999999999,-0.02745760000000001,-0.0726294,-0.093032,-0.13016139999999995,-0.28728259999999994,0.14071399999999998,52.350326,4.925284,3.696717,3.27,221.800003,3.790092,2.5,1,0,0,0,0,0
27.5,-0.06957100000000002,-0.3272784,9.513085,0.015087999999999999,-0.05167759999999999,-0.043034,0.15555539999999998,-0.22294300000000006,0.005664800000000003,,,,,,,,1,0,0,0,0,0
28.0,0.5612368000000001,-0.21625119999999995,10.453165000000002,-0.0063528000000000005,-0.0377502,0.1619968,-1.205732,0.363224,-1.289701,52.350307,4.92525,3.624894,2.89,228.199997,3.790092,2.5,1,0,0,0,0,0
28.5,0.12197399999999987,0.7004388,10.380782400000001,0.0278315,0.133928,-0.2848075,-1.205732,0.363224,-1.289701,,,,,,,,1,0,0,0,0,0
29.0,-0.5312664,-0.13244259999999994,10.0500344,0.006780400000000001,-0.1425718,0.14324360000000003,-1.240073,-0.03212780000000002,-0.6927146000000001,52.350288,4.925212,3.211271,3.51,229.100006,3.790092,2.5,1,0,0,0,0,0
29.5,0.0943970000000001,0.6534800000000001,8.7925466,0.001038600000000002,0.0907414,-0.049326,0.053702000000000034,-0.2894672,0.06579339999999997,,,,,,,,1,0,0,0,0,0
30.0,-0.08991039999999997,-0.12251239999999987,9.7262256,-0.0029016,0.016890000000000006,-0.05903860000000001,1.1457084,0.1256974,-0.4625946,52.350267,4.925173,3.282019,3.4,229.399994,3.790092,2.5,1,0,0,0,0,0
30.5,1.0520044,0.16624119999999998,11.5506936,0.03905575,0.14091475,-0.144198,1.28583,0.089225,-0.58587,,,,,,,,1,0,0,0,0,0
31.0,-0.2795414,0.9879966,8.255058600000002,0.0060472,0.1433658,-0.2747894,1.28583,0.089225,-0.58587,52.350247,4.925133,3.376695,3.34,229.100006,3.790092,2.5,0,0,0,1,0,0
31.5,-1.7421543999999998,0.35144600000000004,9.1689974,0.054273800000000004,0.1279724,-0.47368140000000003,1.5832226,-0.0855248,0.42279120000000003,,,,,,,,0,0,0,1,0,0
