,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),labelnormal,labelturnright,labelturnleft,labelbrake,labelstop,labelaccelerate,Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
16.0,-0.20317861489788547,7.039640219649453,7.682058806153756,0.008873008891222167,0.02707369749034979,0.013182233226557783,0.14049411099064,0.14690229120594256,0.1342840391483722,1,0,0,0,0,0,52.339705542662074,4.952237276538587,4.461833553356014,4.089132638422035,253.9414972573545,3.7900919999998046,2.500674017283893,-0.5631558815659942,0.09715457100150864,0.07554629079129142,-0.07187723023025956,-0.0711289159622364,0.04911686306028173,-0.03928047475461948
16.5,0.2875669159520366,6.524880686689911,7.379858943616821,0.009362319975798694,0.029768772761787955,0.09590523414589805,-0.16491291827354368,0.050593933674583966,0.10762552539037976,1,0,0,0,0,0,52.339703550711654,4.9522260642888,4.368657170805188,4.094598248513884,253.25327215784793,3.790091999992643,2.500113033809536,-0.5646404872712348,0.0938468396134098,-0.0067741840999467375,-0.16088473679411247,-0.05529151251818224,0.14757963477733843,-0.04533242645221737
17.0,-0.41626260525173514,7.616849555710792,6.536964211881393,0.00780573532883227,0.05272830828728883,0.0964472196673677,-0.36576893038765584,-0.12461741820126525,0.18479373336164487,1,0,0,0,0,0,52.3396980848507,4.952200216784661,4.3825048007155445,4.108281819870881,252.10044743794433,3.7900920000116423,2.4992725306977768,-0.566364691711293,0.09565371621291449,-0.0466782136686339,-0.1715166737170022,-0.08170000201735177,-0.011654243819403502,0.1973081957274688
17.5,-0.4900504763370982,7.151069303397878,8.089692174727132,0.020883773240269632,0.10477082109858796,0.06337410556782247,-0.08871722145220504,0.010119866412596669,0.16450859952300112,1,0,0,0,0,0,52.33969337262957,4.952180515065592,4.375960879024653,4.094904517510809,251.09675073834774,3.7900919999884195,2.5009833128776666,-0.5643034170317164,0.10862227664700741,0.0028117241324716012,-0.17255323824058055,-0.019783768035117198,0.041244535865087105,0.03738944538999824
18.0,0.23911247734933838,6.488226096170631,8.426104051575205,0.015991116517286845,0.04826302447633799,0.009789357395337856,-0.031379896533006574,-0.03396258261523363,0.16985102076097808,1,0,0,0,0,0,52.33968524010293,4.9521470225367,4.448893245886697,4.062983929664332,249.1465463691056,3.790092000007547,2.4991484110206557,-0.5699510626831128,0.13167931804209718,0.03586183161965584,-0.1523014842419094,0.04094150095933374,0.20705723769450954,-0.05179891879689959
18.5,1.3095529079319135,6.901546075696896,7.732574160963021,-0.005196232155772756,0.020290823965359053,0.021441699440870578,0.16149597666717402,-0.09869144319540135,0.241529343902698,1,0,0,0,0,0,52.33967159788126,4.952099287607967,4.6387753192525825,3.9878948999207227,246.22219597839378,3.7900919999988485,2.5004438762723686,-0.5807340293277585,0.15486338348835135,0.045796607442994845,-0.1115980812511521,-0.07569477854212087,0.37131942840002846,0.01671311633345831
19.0,0.7355870815005475,7.352297114043081,7.51525113230007,0.008515882541241849,0.01111893281639438,-0.012766445070379499,0.4519810916243634,0.08537700637140928,0.1790381351519976,1,0,0,0,0,0,52.33966257720703,4.952070403935029,4.679496672830489,3.9272745322840708,244.18500331678894,3.7900919999946288,2.50005050676082,-0.5809545083023755,0.16371536266765707,0.1436455528406086,-0.019516608565625256,-0.14610020816478037,0.22004641891917445,-0.003800433845075707
19.5,-0.3747899275925909,7.6741564097190995,7.303594505484719,0.004293044726808076,-0.022025819344642726,0.006456118720864015,0.23162433737866633,0.059915434691138206,0.06358393154552608,1,0,0,0,0,0,52.33965527830015,4.952048047059832,4.681909663734039,3.896946312432443,242.7997564599823,3.7900920000100036,2.499556119631577,-0.5786987211262604,0.162127860147144,0.12275182145630673,-0.03404306243474418,-0.12697517603070202,-0.022459906099346356,0.057167229928760735
20.0,0.2506870726760257,7.1391299659109535,7.69777597280981,-0.019227802226746783,0.0837912614606566,0.1602892182579941,-0.15902000828050203,0.05011184697931079,-0.02720039911951274,1,0,0,0,0,0,52.339646296161284,4.952022757546805,4.830992803254746,3.8289163371763255,241.4046741229299,3.79009199998848,2.500615592346604,-0.5802219377384359,0.1587133258414319,-0.06074120685349886,-0.2266339004813341,-0.19812699610111578,0.10164530416425319,-0.01735815333222774
20.5,-0.19194579132978354,6.48421181958656,7.519974879389649,0.007730894109629807,0.0867919338715737,0.004191215947742369,0.1102786273256265,0.10729363731887329,0.054399083700195514,1,0,0,0,0,0,52.339638222768,4.952000718551003,4.948780232646801,3.7855689208965555,240.21625970376613,3.7900920000098006,2.4994570839437062,-0.579766833627402,0.1905471320772877,0.05585364710749805,-0.14530005712676672,-0.05573381876704094,0.06531509746468697,-0.08412282004270984
21.0,-1.0701885678194436,7.105126176864392,6.226945292727011,0.012396712580776537,-0.010267104483260528,-0.08778858575915166,0.31928206072400794,-0.0064689303084856905,0.13732322400699304,1,0,0,0,0,0,52.33963133193465,4.95198372521153,4.962712582301818,3.814396005221252,239.48105927351267,3.7900919999943525,2.500292477129171,-0.5815797775358977,0.2046223469523373,0.16172509421521433,-0.013861014041152654,0.007005907069629731,-0.1320121862581203,0.09286911820194743
21.5,-0.4023738925695888,7.761321327509979,5.762059746886782,-0.0054569476502390295,0.0071242428132704564,0.06831353537976599,0.060570869982289936,-0.012952691972152574,0.12090048354278476,1,0,0,0,0,0,52.33962584878174,4.951970655053293,4.953405966697842,3.8661174006648267,238.8498877274738,3.7900920000004064,2.500018129744977,-0.5867848242179081,0.1830251701706135,0.05619815390932468,-0.08712267170102049,-0.17453735080630153,-0.06936155672633618,0.17414586608942886
22.0,0.15322019453196853,7.073915411987688,7.235841341178792,0.00774425672340974,-0.009545461878041474,0.009240087567518557,0.14488264798522943,0.03835398925259877,0.1377002518979439,1,0,0,0,0,0,52.339618275493166,4.951952256294015,4.957088717694747,3.893180793212223,238.00299806370697,3.7900920000045657,2.4997299210599135,-0.5892597380683953,0.1980232082985622,0.10454407626893314,-0.07770160429705586,-0.0838217553071255,0.10437388175812143,0.01213413383091846
22.5,0.3083193101593866,6.729154082120336,7.829804436717382,-0.004061606434960079,0.02464225599902854,0.02978370430183124,0.09811649601904951,0.14719200194425341,-0.014034492614647813,1,0,0,0,0,0,52.33961041866058,4.951933100672756,5.007322298556639,3.8823279744970542,237.49335576007456,3.7900919999917475,2.500385094423838,-0.5887930453250974,0.19027730009207253,0.07045973863842252,-0.12318967678302449,-0.13914751925798988,0.12535841889850596,-0.11552907172827895
23.0,-0.43891913757682854,7.446453420123154,6.416796929144611,-0.004039185718313333,0.06605618296943155,0.036383532111088725,0.0316758780579696,0.16948305294236124,-0.0024066813504535598,1,0,0,0,0,0,52.33959893417155,4.951905675189249,5.040490556046512,3.8426796061485295,236.4277474797535,3.7900920000101848,2.499653999520249,-0.5884867834415257,0.18685799101277423,0.057705606423979226,-0.11369088225551115,-0.22725666554989218,-0.07869348926242466,0.02919283055730932
23.5,-0.8835292563558006,7.289016366800965,6.383672415096088,0.015605480180225192,0.005915440676122233,-0.034679295348882054,0.131351141068029,-0.01603728258953156,0.1349544324158784,1,0,0,0,0,0,52.339581154629506,4.951867402981877,5.004029014857965,3.786651045340594,234.5724690719736,3.790091999989671,2.5001924335325727,-0.5901423584975146,0.22248029227266677,0.1250877854411362,-0.0644296675768784,-0.03621811398215894,-0.10280497527423194,0.11472123839775898
24.0,-0.09200900219673266,6.805320831670743,6.860139715657219,0.004844129782946808,0.03903319372700692,0.04913004954408876,0.1295190903077568,-0.024880751237711444,0.08604979446989307,1,0,0,0,0,0,52.339571804015044,4.951848626299021,4.977443491556292,3.76792866462769,233.65841681897757,3.7900920000089977,2.5000025977969345,-0.5924820859451871,0.2231393551496506,0.06522185726787155,-0.13905244513389337,-0.06593603747303775,0.0655691626596549,0.03148775432095101
24.5,-0.8272551078116224,6.901993589447589,6.817344350433826,0.0034581124268575733,0.05977943731046278,0.01281445241533501,0.28463382405879417,-0.03298254754506282,0.16111082100578178,1,0,0,0,0,0,52.33956721648583,4.951839307364152,4.980368033424368,3.7705357512702604,233.2867672743051,3.7900919999932823,2.499836122902475,-0.5903313932657007,0.2317584462555266,0.09206208476256839,-0.12335420515297073,0.003061912020220335,-0.05029396815931305,0.07974518466969599
25.0,-1.3662467710892154,7.025786771370198,7.2681680099678685,-0.0011669060651021334,0.002390973356316727,0.021132927292844994,0.09111689730453018,0.017941148140213106,0.03604583136249903,1,0,0,0,0,0,52.33955775349335,4.951820722414318,4.9716598268948475,3.757556707293192,232.5773225246029,3.790092000004181,2.5002406657618397,-0.5894302878757512,0.22578928168637688,0.09021845705788935,-0.12204663174453885,0.002481468223235509,-0.17761892917319805,0.046073650440224864
25.5,-0.2794868745896758,7.4703432341049965,6.611836785088002,-0.0015935726392674815,-0.038292275849514494,-0.04371871979009356,0.4074188502194421,0.17505854866507575,-0.009515077194750183,1,0,0,0,0,0,52.33954980805718,4.951804834465908,4.973203919023105,3.7815134760320124,231.717090499988,3.7900919999979883,2.4997796704053763,-0.597188719529304,0.22064350414637482,0.19330816463710784,0.006886398855779409,-0.19603051282467165,-0.047704354645438526,0.002275765769373699
