,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft
19.5,1.8159128000000002,-1.2561719999999998,12.5324086,0.3297046,0.3624158,-0.696152,2.5868316,-0.020466800000000073,1.4496768,,,,,,,,0,1,0,0,0,0
20.0,-0.6992427999999999,1.0574480000000002,7.1764342,0.07461520000000002,0.08240320000000001,-0.6394348,3.1037643999999998,-1.9434649999999998,4.563154000000001,52.346025,4.92126,5.836069,3.04,275.399994,3.790092,2.5,0,1,0,0,0,0
20.5,-1.0289734,-1.5131611999999999,9.4186884,0.20790199999999998,-0.041476799999999994,-0.5304905999999999,2.7004454,-0.6513754,0.32777860000000003,,,,,,,,0,1,0,0,0,0
21.0,-0.17012960000000002,-0.39337999999999995,9.0536036,0.025380800000000002,-0.026083400000000007,-0.609259,1.6437908,-1.9630236,2.5856136000000003,52.346031,4.921218,6.012262,2.78,283.399994,3.790092,2.5,0,1,0,0,0,0
21.5,-1.8171692,0.7418946000000002,-3.0976285999999993,-0.34323500000000007,-0.21556819999999996,0.0956588,-0.08617020000000011,0.2639400000000004,-2.529784,,,,,,,,0,1,0,0,0,0
22.0,-0.7711468,3.474857,9.206983600000001,0.033077399999999965,-0.2751868,-0.030817399999999984,0.04322820000000005,-7.884746599999998,4.0291212,52.346045,4.921188,5.508359,2.55,307.100006,3.790092,2.711796,0,1,0,0,0,0
22.5,-1.5698113999999999,-0.6801599999999999,7.865506999999999,0.5376374,-0.283983,-0.1803222,1.0471826,3.5411326,-5.1191144,,,,,,,,1,1,0,0,0,0
23.0,-0.764148,0.9416353999999998,10.944651400000001,-0.1908594,-0.20823799999999998,0.25423460000000003,-1.3400182,0.043712400000000116,2.196968,52.346072,4.921165,5.110497,3.74,332.100006,3.790092,2.799296,1,0,0,0,0,0
23.5,0.5769694000000001,-1.3313666,10.523993,-0.1107162,-0.1322486,0.14525939999999998,2.0354162000000002,-0.10104160000000002,2.1392704,,,,,,,,1,0,0,0,0,0
24.0,0.1570288,-0.5202591999999999,8.004709600000002,0.09684980000000001,0.13261499999999998,-0.07953220000000001,0.1771207999999999,0.5215639999999999,-1.637586,52.34611,4.921149,5.8003,4.31,345.700012,3.790092,2.785358,1,0,0,0,0,0
24.5,-0.9174082,0.8437093999999998,6.8333032000000005,-0.04807379999999999,-0.029137600000000003,0.14941299999999996,-1.902582,0.34381380000000006,-1.0181604000000002,,,,,,,,1,0,0,0,0,0
25.0,0.9090931999999998,-0.8547760000000002,10.798389599999998,0.2537156,0.150818,-0.042270800000000004,1.0372102,-1.3856755999999997,2.9010066,52.346151,4.921134,5.696894,4.32,343.799988,3.790092,2.927264,1,0,0,0,0,0
25.5,0.7665408,-0.34695920000000025,3.9734615999999994,-0.25099720000000003,0.1449542,-0.026754999999999994,1.8380040000000002,0.44524880000000006,-0.3108868,,,,,,,,1,0,0,0,0,0
26.0,2.480759,-0.0019743999999999318,7.305108200000001,-0.33428620000000003,0.1227194,-0.0968804,3.1274653999999997,-0.9814560000000002,2.2374257999999996,52.346191,4.921113,5.361735,4.55,341.700012,3.790092,3.12248,1,0,0,0,0,0
26.5,1.20018,-1.4676376000000004,11.8024184,0.2418346,-0.12650639999999996,0.0356734,1.127299,-0.08606359999999977,-1.0644986,,,,,,,,1,0,0,0,0,0
27.0,0.0952944,0.8707483999999999,10.5299746,-0.02043280000000002,0.285571,-0.0059864,-1.747207,-2.3632784,1.8087516000000001,52.346232,4.921091,4.722008,4.68,340.200012,3.790092,3.243171,1,0,0,0,0,0
27.5,-0.6382854,-0.11706879999999995,12.674123600000001,0.2303812,-0.3530088,0.1006674,1.1036948,-2.2024334,2.2290853999999998,,,,,,,,1,0,0,0,0,0
28.0,0.06251259999999999,0.7433904,7.9860454,-0.05384639999999998,-0.29473399999999994,-0.034085199999999996,1.4115592,0.04539659999999994,0.35079540000000015,52.346275,4.921056,4.749942,5.11,339.5,3.790092,3.232091,1,0,0,0,0,0
28.5,-0.6978068,-2.4957738,10.1218194,0.38122979999999995,0.0773942,0.0098956,-1.084717,0.8460733999999999,-4.2859906,,,,,,,,1,0,0,0,0,0
29.0,1.0131806000000003,-2.273002,13.0337052,0.32759740000000004,-0.032558,-0.0604738,1.4140022,-1.3696312,7.839851200000001,52.346316,4.921022,4.383099,5.44,341.100006,3.790092,3.188838,1,0,0,0,0,0
29.5,3.4460234,-3.3148966,15.521403000000001,0.660509,0.370479,-0.11251799999999998,1.5201939999999998,2.3283981999999996,-0.16450859999999992,,,,,,,,1,0,0,0,0,0
30.0,0.7039085999999999,3.7326236,5.4710694,-0.6317382,0.070675,0.0608404,-1.9583504,-3.1835252000000005,1.2101511999999999,52.346359,4.920978,4.532304,5.51,335.299988,4.187564,3.406415,1,0,0,0,0,0
30.5,-0.7764112,-2.1347568000000003,17.110656,0.3742662,-0.08484660000000004,-0.1066542,-0.7679583999999998,0.20508300000000004,-0.997477,,,,,,,,1,0,0,0,0,0
31.0,-1.455853,1.1292928,8.838249399999999,-0.12415460000000003,-0.27726360000000005,0.1574766,-2.3229842,-4.2461839999999995,0.3170948000000003,52.346407,4.920933,4.001706,5.78,337.899994,4.080574,3.622487,1,0,0,0,0,0
31.5,0.6711267999999999,-1.600978,10.126365400000001,0.4326936,0.17549619999999994,-0.01808119999999998,1.1733692000000002,-2.7999164,4.7036086,,,,,,,,1,0,0,0,0,0
32.0,1.1898308,-4.0568514,13.327244199999999,0.8185048,0.009712399999999993,-0.0228456,-0.6389064000000001,-0.41432280000000005,1.9622314000000003,52.346455,4.920885,4.274147,6.08,337.0,4.111869,3.632941,1,0,0,0,0,0
32.5,-0.31357939999999995,-1.8267403999999998,12.0703546,-0.17998599999999995,-0.29375660000000003,0.1836206,1.2716334,-4.2214062,1.2153084,,,,,,,,1,0,1,0,0,0
33.0,0.6363112,0.707498,9.3815396,0.17064,0.1682884,-0.03567360000000001,0.2024558,-1.0418728000000002,-4.0814416,52.346495,4.920848,4.405957,5.42,341.0,3.94321,3.505899,0,0,1,0,0,0
33.5,-0.40995039999999977,-0.5297709999999997,9.693205,-0.170121,-0.08093739999999998,-0.0802654,1.5534314,-0.41744259999999994,-0.43103519999999984,,,,,,,,0,0,1,0,0,0
34.0,-2.6478376,-2.3528624000000002,7.998488,0.023181600000000004,-0.23780279999999995,-0.0392164,-0.5212866,-1.2365924,-0.4374757999999999,52.346521,4.92082,4.402255,3.85,338.700012,3.943373,3.640751,0,0,1,0,0,0
34.5,-0.9949956,-2.5786856,13.164951000000002,-0.030725599999999992,-0.3170908,0.0587634,-0.7641328,-0.22617360000000009,-1.390562,,,,,,,,0,0,1,0,0,0
35.0,1.2293124,-2.6538798,10.3215004,0.3928666,0.20530579999999995,-0.0185698,-0.9310872,-1.0038178000000002,-0.0987126,52.346558,4.920786,4.628606,4.28,339.200012,3.790092,3.286253,0,0,1,0,0,0
35.5,2.0009978,-1.5348164,8.69803,0.1386316,0.2213098,0.08502980000000002,0.5190776000000001,-3.2782734000000007,0.4681908,,,,,,,,0,0,1,0,0,0
36.0,-0.19178479999999998,-0.4444070000000001,10.6113912,0.0035124000000000045,0.1520398,-0.0883284,-1.2490972,-2.7640383999999996,-0.19496339999999987,52.346588,4.92076,4.325289,3.59,337.0,3.790092,3.081356,0,0,1,0,0,0
36.5,0.38835520000000007,-0.6071786000000001,10.5900948,-0.02519760000000002,-0.05442660000000001,0.10592099999999997,0.2481974,-1.7049644000000002,1.4329176000000001,,,,,,,,1,0,1,0,0,0
37.0,0.0031108000000000247,0.01938180000000005,9.2242116,0.13056859999999998,0.098041,-0.10298879999999999,0.12215380000000002,-3.1468598000000005,1.7085325999999998,52.346627,4.920741,4.919633,3.87,341.200012,3.790092,3.132332,1,0,0,0,0,0
37.5,0.8513662000000002,-0.8073384000000001,10.5163356,0.1832238,0.018142199999999997,0.017470199999999998,-0.9225035999999998,-1.8527638,0.1008691999999997,,,,,,,,1,0,0,0,0,0
38.0,0.6231508,0.6535994000000002,6.3446292,-0.06258140000000001,0.0645666,0.0712246,-1.2998806000000003,-0.5613476,-2.0939226,52.346654,4.920712,4.298805,3.42,330.399994,3.790092,3.113041,1,0,0,0,0,0
38.5,2.0656638000000003,1.8681964,8.365966,-0.46760360000000006,-0.08521319999999999,0.17763420000000002,1.0079438,-2.2676698,1.2098416000000003,,,,,,,,1,0,0,0,0,0
39.0,-0.10247239999999995,-0.4205984000000001,10.655239400000001,0.40410599999999997,0.2694446,-0.034818400000000006,-1.1984282,-0.0870557999999999,-3.217961,52.346684,4.920693,4.47883,3.33,340.799988,3.790092,3.05228,1,0,0,0,0,0
39.5,-1.467578,0.6567102,7.013781799999999,-0.24314780000000003,-0.14825280000000002,0.05350999999999999,-0.8015421999999999,-0.05448980000000012,-0.8363553999999997,,,,,,,,1,0,0,0,0,0
40.0,-0.5715256,0.1807777999999999,10.1247504,-0.08298359999999999,0.11661100000000002,0.0863736,-1.000911,-1.6805862,1.0057546,52.346715,4.920673,4.105509,3.73,344.299988,3.790092,3.056351,1,0,0,0,0,0
40.5,0.22049860000000004,1.3473983999999999,7.786543800000001,-0.2794322,0.0347572,-0.1914396,0.20796219999999996,-3.4328176,2.3572471999999998,,,,,,,,1,0,0,0,0,0
41.0,-0.47090740000000003,1.1244472,7.656075200000001,0.1261704,-0.1243074,0.13230979999999998,-1.8383634,-0.6300438,0.8211508000000005,52.346748,4.920652,3.948196,3.88,344.399994,3.790092,3.106338,1,0,0,0,0,0
