Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
44.548238,-1.577185,0.641871,-0.657949
44.653027,1.992684,-0.200810,0.739797
44.757814,0.993507,0.338388,-0.137671
44.862602,0.536341,0.146188,-0.071069
44.967389,0.419168,-0.076991,0.182025
45.072178,0.832482,0.498115,-0.078661
45.176964,-0.042996,-0.271725,0.198571
45.281753,-0.263836,-0.621727,0.377006
45.386540,-0.118634,-0.300807,0.543731
45.491328,0.058809,0.896581,-0.526755
45.596115,0.185433,0.491016,-0.645665
45.700903,0.087534,0.228153,0.275644
45.805690,0.138004,0.182178,-0.140412
45.910478,1.167776,-0.480579,0.582652
46.015265,-0.544970,0.298123,-0.019321
46.120053,0.719019,0.093466,-0.047630
46.224840,0.676330,0.174930,-0.161411
46.329628,-1.005165,-0.089132,0.159212
46.434415,0.464563,-0.009689,0.228731
46.539203,0.631825,0.407734,-0.314551
46.643990,0.123645,-0.337173,0.348672
46.748778,0.183736,0.449631,0.207796
46.853565,-0.984244,-0.307180,-0.121087
46.958353,-1.227143,-0.048825,0.176411
47.063140,0.016288,-0.206427,0.720503
47.167928,-0.030135,0.533511,-0.614939
47.272715,0.713161,-0.293030,0.153553
47.377503,-0.018006,0.176486,0.162989
47.482290,-0.078344,0.037668,0.122461
47.587078,-1.305772,-0.520859,0.276003
47.691864,-0.154013,0.238150,0.001303
47.796652,1.307067,0.626677,-0.203438
47.901439,0.585805,0.317862,-0.445189
48.006227,-1.026476,-0.490931,0.591520
48.111014,-0.259033,-0.453968,0.782677
48.215802,0.220563,0.206130,-0.141526
48.320588,0.038480,0.477826,-0.033832
48.425377,-0.649602,-0.224101,-0.021700
48.530163,1.370082,0.785878,-0.544897
48.634951,1.572839,0.620050,0.072170
48.739738,-0.277528,-0.548119,0.249205
48.844526,-0.523842,-0.008558,0.082145
48.949312,0.277011,0.774580,-0.277713
49.054100,1.313805,0.048726,-0.398079
49.158887,-0.302063,0.572663,-0.121708
49.263675,-0.999904,-0.378166,0.320761
49.368461,0.517539,0.077615,-0.217193
