Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
37.623933,-0.891626,6.836594,7.082157
37.723933,-0.765703,6.501897,7.789535
37.823933,-1.373480,6.823433,6.662516
37.923933,-1.586142,7.317850,6.584151
38.023933,0.371187,7.294221,6.737590
38.123933,-1.220938,8.035995,6.145965
38.223933,0.629312,7.243672,5.935397
38.323933,-0.053839,6.675975,7.881958
38.423933,-1.814657,6.601200,6.942177
38.523933,-0.077468,7.021140,6.559624
38.623933,-0.077468,7.021140,6.559624
38.723933,-0.077468,7.021140,6.559624
38.823933,-0.077468,7.021140,6.559624
38.923933,-0.077468,7.021140,6.559624
39.023933,-0.077468,7.021140,6.559624
39.123933,-0.077468,7.021140,6.559624
39.223933,-0.077468,7.021140,6.559624
39.323933,-0.077468,7.021140,6.559624
39.423933,-0.077468,7.021140,6.559624
39.523933,-0.077468,7.021140,6.559624
39.623933,-0.077468,7.021140,6.559624
39.723933,-0.051745,6.640980,7.613064
39.823933,1.300499,7.498209,6.061618
39.923933,-0.279960,7.554141,6.952047
40.023933,-0.549751,7.071389,6.293124
40.123933,0.758226,6.646663,7.730911
40.223933,-1.920539,6.831210,6.248857
40.323933,-1.051047,6.971489,7.284948
40.423933,0.046660,7.498209,6.939485
40.523933,-0.297308,7.348358,6.443273
40.623933,-1.652244,7.097710,6.154639
40.723933,0.440878,7.310970,7.147959
40.823933,0.440878,7.310970,7.147959
40.923933,0.440878,7.310970,7.147959
41.023933,0.440878,7.310970,7.147959
41.123933,0.440878,7.310970,7.147959
41.223933,0.440878,7.310970,7.147959
41.323933,0.440878,7.310970,7.147959
41.423933,0.440878,7.310970,7.147959
41.523933,0.440878,7.310970,7.147959
41.623933,0.440878,7.310970,7.147959
41.723933,0.440878,7.310970,7.147959
41.823933,0.440878,7.310970,7.147959
41.923933,-0.000299,7.034001,7.467401
42.023933,-1.848456,7.212565,7.025626
42.123933,-0.729811,6.664908,7.008877
42.223933,-1.324427,6.508179,6.618846
42.323933,-0.312562,7.761718,6.881459
42.423933,0.256630,7.205986,6.815058
42.523933,0.499801,7.146165,6.929315
42.623933,-1.936392,6.992127,6.492625
42.723933,-0.966700,6.619146,7.611868
42.823933,0.204287,7.082755,6.837790
42.923933,0.185145,7.486843,6.678069
43.023933,0.185145,7.486843,6.678069
43.123933,0.185145,7.486843,6.678069
43.223933,0.185145,7.486843,6.678069
43.323933,0.185145,7.486843,6.678069
43.423933,0.185145,7.486843,6.678069
43.523933,0.185145,7.486843,6.678069
43.623933,0.185145,7.486843,6.678069
43.723933,0.185145,7.486843,6.678069
43.823933,0.185145,7.486843,6.678069
43.923933,0.185145,7.486843,6.678069
44.023933,-2.311766,6.490830,6.652346
44.123933,-0.179163,7.429116,6.868299
44.223933,-0.109472,7.251449,7.202396
44.323933,-0.037687,7.314260,6.867401
44.423933,-1.460519,6.486045,6.949954
44.523933,-1.744368,7.657032,6.183053
44.623933,1.625923,6.844968,7.541280
44.723933,0.390329,7.377371,6.654140
44.823933,-0.192323,7.125826,6.769594
44.923933,-0.429811,6.941279,6.969096
45.023933,0.000299,7.555936,6.669395
45.123933,0.000299,7.555936,6.669395
45.223933,0.000299,7.555936,6.669395
45.323933,0.000299,7.555936,6.669395
45.423933,0.000299,7.555936,6.669395
45.523933,0.000299,7.555936,6.669395
45.623933,0.000299,7.555936,6.669395
45.723933,0.000299,7.555936,6.669395
45.823933,0.000299,7.555936,6.669395
45.923933,0.000299,7.555936,6.669395
46.023933,0.000299,7.555936,6.669395
46.123933,0.000299,7.555936,6.669395
46.223933,0.096909,7.173084,6.674779
46.323933,-1.578964,6.890432,7.014560
46.423933,-0.118146,7.008577,7.043572
46.523933,-0.027817,7.422536,6.497112
46.623933,-0.508176,6.701698,7.138089
46.723933,-0.236889,7.504789,6.996614
46.823933,-1.362713,6.738787,6.679863
46.923933,-1.502094,7.013363,6.965507
47.023933,-0.236889,6.849754,7.516454
47.123933,-0.289532,7.610373,6.159425
47.223933,0.498904,6.778867,6.934699
47.323933,-0.281456,7.254739,6.935596
47.423933,-0.281456,7.254739,6.935596
47.523933,-0.281456,7.254739,6.935596
47.623933,-0.281456,7.254739,6.935596
47.723933,-0.281456,7.254739,6.935596
47.823933,-0.281456,7.254739,6.935596
47.923933,-0.281456,7.254739,6.935596
48.023933,-0.281456,7.254739,6.935596
48.123933,-0.281456,7.254739,6.935596
48.223933,-0.281456,7.254739,6.935596
48.323933,-0.281456,7.254739,6.935596
48.423933,-1.287040,6.635297,6.948458
48.523933,0.732204,7.646265,6.424130
48.623933,0.740878,7.454241,7.046564
48.723933,-1.113261,6.265307,7.243373
48.823933,-1.292423,6.853044,7.036693
48.923933,-0.547657,7.588538,6.717251
49.023933,0.500100,6.893722,6.567999
49.123933,-1.141077,7.394121,6.864111
49.223933,-1.679462,6.425028,7.341778
49.323933,-0.127418,6.910472,6.778268
49.423933,-0.127418,6.910472,6.778268
49.523933,-0.127418,6.910472,6.778268
49.623933,-0.127418,6.910472,6.778268
49.723933,-0.127418,6.910472,6.778268
49.823933,-0.127418,6.910472,6.778268
49.923933,-0.127418,6.910472,6.778268
50.023933,-0.127418,6.910472,6.778268
50.123933,-0.127418,6.910472,6.778268
50.223933,-0.127418,6.910472,6.778268
50.323933,-0.127418,6.910472,6.778268
50.423933,-0.127418,6.910472,6.778268
50.523933,-0.127418,6.910472,6.778268
50.623933,-0.555434,7.368099,6.925128
50.723933,-0.110668,7.400702,6.038886
50.823933,-0.544965,6.954739,7.086045
50.923933,0.537488,7.289136,6.929914
51.023933,-0.599103,6.873084,7.009774
51.123933,-1.022034,6.685247,7.101000
51.223933,0.240479,7.023233,7.392326
51.323933,-1.393819,7.013363,6.524330
51.423933,-0.972084,7.403094,6.690631
51.523933,-0.103490,7.378269,6.774679
51.623933,0.151944,7.214061,6.837192
51.723933,0.151944,7.214061,6.837192
51.823933,0.151944,7.214061,6.837192
51.923933,0.151944,7.214061,6.837192
52.023933,0.151944,7.214061,6.837192
52.123933,0.151944,7.214061,6.837192
52.223933,0.151944,7.214061,6.837192
52.323933,0.151944,7.214061,6.837192
52.423933,0.151944,7.214061,6.837192
52.523933,0.151944,7.214061,6.837192
52.623933,0.151944,7.214061,6.837192
52.723933,0.151944,7.214061,6.837192
52.823933,-0.165105,7.453343,7.209874
52.923933,-1.406381,5.996713,7.117750
53.023933,-0.671785,7.928618,6.218647
53.123933,2.039881,6.988837,7.023233
53.223933,-1.186242,7.454540,6.661319
53.323933,-0.580858,6.822536,6.882356
53.423933,-2.035395,6.291927,7.538887
53.523933,-1.198206,6.893124,6.373582
53.623933,0.930210,8.023732,6.826723
53.723933,0.031705,7.042974,6.719046
53.823933,-0.707677,7.153942,6.296414
53.923933,-0.707677,7.153942,6.296414
54.023933,-0.707677,7.153942,6.296414
54.123933,-0.707677,7.153942,6.296414
54.223933,-0.707677,7.153942,6.296414
54.323933,-0.707677,7.153942,6.296414
54.423933,-0.707677,7.153942,6.296414
54.523933,-0.707677,7.153942,6.296414
54.623933,-0.707677,7.153942,6.296414
54.723933,-0.707677,7.153942,6.296414
54.823933,-0.707677,7.153942,6.296414
54.923933,-0.707677,7.153942,6.296414
55.023933,-0.393320,7.435397,6.468697
55.123933,-1.715953,6.871888,6.731608
55.223933,-0.302094,6.943373,7.206584
55.323933,-0.124726,7.424330,6.390332
55.423933,-1.078565,7.047162,6.540781
55.523933,-0.422931,6.489036,6.983154
55.623933,0.006580,7.547561,7.529315
55.723933,-0.213859,7.035796,7.013363
55.823933,-0.434297,6.499804,7.528418
55.923933,-0.076570,7.533802,6.445367
56.023933,0.775574,7.283752,6.492027
56.123933,0.775574,7.283752,6.492027
56.223933,0.775574,7.283752,6.492027
56.323933,0.775574,7.283752,6.492027
56.423933,0.775574,7.283752,6.492027
56.523933,0.775574,7.283752,6.492027
56.623933,0.775574,7.283752,6.492027
56.723933,0.775574,7.283752,6.492027
56.823933,0.775574,7.283752,6.492027
56.923933,0.775574,7.283752,6.492027
57.023933,0.775574,7.283752,6.492027
57.123933,0.775574,7.283752,6.492027
57.223933,-0.794417,6.781559,6.376873
57.323933,-0.804587,7.603792,7.344470
57.423933,-0.604188,7.013064,6.381060
57.523933,-1.179961,6.827321,7.003194
57.623933,-0.187537,6.406484,8.197810
57.723933,-0.178863,7.424929,6.047560
57.823933,0.119641,7.383952,6.739385
57.923933,-0.879961,7.293025,6.638886
58.023933,-0.068794,7.336992,6.198906
58.123933,-0.217448,6.605387,7.707581
