Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
27.331730,0.025808,0.001680,0.033749
27.436519,-0.019700,0.102164,0.348030
27.541307,-0.010232,-0.013744,-0.191959
27.646097,-0.024739,-0.096667,-0.379489
27.750885,0.008246,-0.108578,-0.224334
27.855674,0.118199,-0.077578,-0.027794
27.960462,-0.034513,-0.010537,0.306340
28.065252,-0.019547,0.029932,0.390637
28.170040,-0.009163,0.237772,0.463480
28.274829,-0.050242,0.096056,0.278394
28.379617,0.003360,0.042912,-0.156530
28.484407,0.062612,-0.011301,-0.013439
28.589195,0.012981,-0.027030,-0.023059
28.693984,0.018784,0.006414,-0.220669
28.798772,-0.076203,0.020463,-0.042912
28.903562,0.078036,0.124766,-0.022601
29.008350,-0.052686,0.194249,0.080174
29.115180,0.030237,0.220210,0.129500
29.220423,0.057114,-0.120031,-0.568088
29.325211,-0.010995,-0.197609,-0.419957
29.430001,0.020005,-0.248462,0.096361
29.534789,0.025045,0.019853,0.501658
29.639578,-0.039247,0.022754,0.424692
29.744366,-0.048868,0.014049,0.149963
29.849156,0.023976,0.044897,-0.043676
29.953943,-0.038636,0.106593,-0.031917
30.058733,0.008705,0.146909,-0.125376
30.163521,0.013439,0.131027,0.141106
30.268310,0.050853,0.286487,0.065361
30.373098,-0.061848,-0.022601,-0.259916
30.477887,0.060779,-0.046883,-0.351237
30.582675,0.009774,-0.180658,-0.211506
30.687465,-0.039094,-0.158668,0.109647
30.792252,0.003207,0.041690,0.397051
30.897042,-0.023212,-0.061237,0.220516
31.001830,-0.000153,0.116825,0.015271
31.106619,0.024434,-0.016187,-0.073913
31.211407,0.012064,0.085519,-0.121253
31.316196,-0.076203,0.013286,-0.216393
31.420984,0.113312,0.123849,-0.102775
31.525773,0.063834,-0.036651,-0.185087
31.630561,-0.014813,-0.038483,-0.173633
31.735350,0.003665,0.023059,0.027946
31.840138,0.025961,-0.137593,-0.196235
31.944927,0.027030,-0.281601,0.025656
32.049715,0.003207,-0.116825,0.219294
32.154504,-0.008246,-0.087657,0.237772
32.259292,-0.028252,0.100332,0.234718
32.364081,0.053907,0.026419,-0.054518
32.468869,-0.043828,-0.001527,-0.244950
32.573658,-0.003665,0.087962,-0.200205
32.678445,0.026114,0.028252,0.051617
32.783235,0.005039,0.152712,-0.065513
32.888022,0.002902,-0.097888,-0.089336
32.992811,0.023059,0.033597,-0.064903
33.097599,-0.032222,-0.099263,-0.009163
33.202388,0.033597,-0.096514,0.084755
33.307176,-0.080021,-0.151032,-0.016035
33.411965,0.013439,-0.112090,-0.144924
33.516752,0.016035,-0.176535,-0.114076
33.621542,0.009315,-0.143702,-0.032375
33.726329,-0.067040,0.040469,0.207993
33.831118,0.035429,0.182643,0.079410
33.935906,0.030542,0.227541,0.145229
34.040695,0.014660,0.095292,0.016340
34.145482,0.022296,-0.081701,-0.368952
34.250271,0.037873,-0.145992,-0.328025
34.355059,-0.020922,-0.217920,0.051311
34.459848,-0.017867,-0.116672,0.209215
34.564635,0.014355,-0.107204,0.148741
34.669424,-0.033291,0.059710,0.354291
34.774212,0.041538,0.154392,0.164929
34.879001,-0.046883,-0.128736,-0.383918
34.983788,-0.045508,-0.207535,-0.405908
35.088577,-0.017409,0.021532,0.053296
35.193364,-0.010384,0.338715,0.713622
35.298153,0.012675,0.367883,0.534033
35.402941,0.061696,0.150268,-0.173175
35.507730,-0.019547,0.024128,-0.309241
35.612517,0.006872,-0.100943,-0.398883
35.717306,-0.070247,-0.158209,-0.042912
35.822093,0.091169,-0.113312,-0.031306
35.926883,0.066582,-0.158973,-0.129805
36.031670,-0.081243,-0.036498,0.090405
36.136459,-0.039247,0.052227,0.201427
36.241246,0.047646,0.090864,-0.056962
36.346035,-0.020922,0.023212,-0.359484
36.450822,0.034971,-0.005345,-0.093460
36.555612,0.005498,0.106898,0.095292
36.660399,0.002596,0.052533,0.054365
36.765188,-0.044134,0.068109,0.000153
36.869975,0.045508,-0.188599,-0.333064
36.974764,-0.030695,-0.376282,-0.328330
37.079551,0.020158,-0.062612,0.286029
37.184340,-0.014813,0.002443,0.394302
37.289128,0.005039,0.088726,-0.137288
37.393917,0.026419,-0.215782,-0.445308
37.498704,0.023518,-0.136830,-0.225555
37.603493,-0.059252,-0.098346,-0.029626
37.708280,0.046730,0.019853,0.180353
37.813069,0.040163,0.221127,0.428967
37.917856,-0.053296,0.102775,0.148741
38.022645,-0.014966,0.148283,-0.002596
38.127433,0.046272,-0.066735,-0.223417
38.232222,0.003818,-0.347572,-0.434007
38.337009,0.025197,-0.239910,-0.182796
38.441798,-0.012675,-0.211200,0.151337
38.546585,-0.023823,0.049326,0.370021
38.651374,-0.024281,0.136677,0.447598
38.756161,-0.058336,0.237620,0.110869
38.860950,0.002902,0.187683,-0.125682
38.965737,0.085213,0.016951,-0.173939
39.070526,0.005192,0.018478,-0.263733
39.175313,-0.022601,-0.082770,-0.081854
39.280102,0.039705,-0.106135,-0.216698
39.384890,0.009163,-0.178062,0.011301
39.489678,-0.096514,0.020769,0.376435
39.594466,-0.042607,0.034207,0.297941
39.699254,0.075440,0.019700,0.028710
39.804042,0.031459,0.027794,-0.067040
39.908830,-0.038789,0.035582,-0.000916
40.013618,-0.026877,-0.067804,-0.112854
40.118406,0.062612,0.079716,-0.010690
40.223193,-0.043065,0.143091,0.325582
40.327982,-0.025350,0.233344,0.282364
40.432769,0.024128,0.057572,-0.123849
40.537558,-0.039858,0.066888,-0.024128
40.642345,-0.011912,0.075134,0.118352
40.747134,0.034360,-0.032528,-0.151185
40.851921,0.034207,-0.121864,-0.430647
40.956710,0.028557,-0.247851,-0.192111
41.061497,-0.024281,-0.052838,0.189821
41.166286,-0.003360,0.145534,0.331537
41.271073,-0.005956,0.164776,0.212728
41.375862,-0.038942,0.193180,0.049020
41.480649,0.004123,0.144465,-0.045814
41.585437,0.126598,0.140037,-0.200511
41.690224,0.035429,-0.039094,-0.213797
41.795013,-0.043523,-0.034513,-0.357040
41.899800,0.041843,-0.198983,-0.447598
42.004588,0.064750,-0.343602,-0.409726
42.109375,0.039552,-0.260679,-0.029932
42.214164,0.051464,-0.128583,0.277325
42.318951,-0.062612,-0.065972,0.080479
42.423740,0.039858,-0.197609,-0.127972
42.528527,-0.000611,-0.011912,0.097277
42.633315,-0.029473,0.033138,0.234565
42.738102,-0.050395,0.134692,0.335508
42.842891,0.037567,0.216393,0.136524
42.947678,0.002596,-0.029779,-0.380100
43.052466,0.043981,-0.274881,-0.464549
43.157253,-0.009163,-0.166456,0.025045
43.262042,-0.048715,-0.008857,0.415529
43.366829,-0.012522,0.168288,0.452027
43.471617,-0.000153,0.038331,0.064139
43.576404,0.040316,0.077578,-0.212269
43.681193,-0.003207,-0.110869,-0.399952
43.785980,0.032680,-0.141411,-0.290000
43.890769,-0.018173,-0.025045,0.106898
43.995555,-0.025961,0.040316,0.362843
44.100344,-0.023212,0.175008,0.282670
44.205131,0.000764,-0.007025,-0.018631
44.309919,0.042301,0.047799,0.031306
44.414706,-0.012981,0.218989,0.386361
44.519495,-0.053296,0.125224,0.162944
44.624282,0.015882,0.043217,-0.291069
44.729070,0.071469,-0.086435,-0.328941
44.833857,0.029779,-0.057420,-0.295039
44.938645,0.020616,-0.145534,-0.162027
45.043432,0.015729,-0.101401,-0.094223
45.148221,-0.028557,-0.039247,0.076967
45.253008,-0.053296,0.158209,0.352459
45.357796,0.095750,0.174397,0.138204
45.462583,-0.036498,-0.001527,-0.092543
45.567371,-0.020769,-0.055129,-0.127667
45.672158,-0.014813,-0.111174,-0.120031
45.776946,-0.009010,-0.136372,-0.039094
45.881733,0.054213,0.035582,0.046883
45.986522,-0.036040,-0.036193,-0.019242
46.091308,0.018631,-0.058947,-0.101706
46.196097,-0.051769,0.085824,0.042454
46.300883,-0.001374,0.061085,0.106287
46.405672,0.077425,0.067193,-0.002138
46.510458,-0.023212,-0.002749,-0.131027
46.615247,0.043523,-0.079257,-0.162791
46.720033,0.039552,-0.075592,-0.161569
46.824822,-0.046883,-0.058336,0.097430
46.929608,-0.029321,-0.015729,0.077578
47.034396,0.037567,-0.092238,-0.046119
47.139183,-0.043828,-0.117741,-0.001374
47.243971,-0.009010,0.089795,0.026266
47.348758,0.029321,-0.008399,-0.078647
47.453546,-0.002138,0.045355,-0.014049
47.558333,0.003971,0.142633,0.148436
47.663121,0.037567,0.033749,-0.064750
47.767907,0.040010,-0.133776,-0.353681
47.872696,0.028557,-0.158515,-0.258999
47.977482,-0.058794,-0.188905,0.045661
48.082270,0.023976,-0.007025,0.171037
48.187057,0.003971,-0.151185,-0.033138
48.291845,-0.017256,-0.065666,0.131485
48.396631,0.018936,0.113618,0.374602
48.501420,0.032375,0.041385,-0.007636
48.606206,-0.021380,-0.011148,-0.303744
48.710994,0.006261,0.024892,0.094070
48.815781,0.006261,0.108578,0.161416
48.920569,0.026877,0.041843,-0.025808
49.025355,0.024128,-0.083533,-0.175924
49.130143,-0.091169,-0.057267,0.045050
49.234930,-0.018325,0.046424,0.269689
49.339718,-0.106135,-0.023212,-0.012522
49.444504,0.083533,0.043370,-0.029168
49.549292,0.040469,-0.043217,-0.038025
49.654079,0.027946,0.000000,-0.095292
49.758867,-0.037109,0.047646,0.144618
49.863653,0.087657,0.159126,0.064903
49.968441,-0.003512,0.045355,-0.052075
50.073227,-0.054060,0.029168,-0.171953
50.178015,0.009163,-0.031917,-0.144007
50.282802,-0.034971,-0.087351,-0.073607
50.387590,0.046883,-0.015118,0.058794
50.492376,-0.005498,-0.026572,-0.002902
50.597164,0.086282,-0.038636,0.028099
50.701950,-0.038636,-0.014049,-0.008246
50.806738,-0.025656,-0.064292,-0.083839
50.911524,0.045814,0.001680,-0.077578
51.016312,0.000611,-0.020463,-0.005498
51.121098,-0.007025,-0.001069,0.053296
51.225886,0.021532,0.061390,-0.001680
51.330672,-0.005498,0.035276,0.110716
51.435460,-0.017715,0.112854,0.127820
51.540246,0.012675,0.006108,-0.114839
51.645034,0.000916,-0.096361,-0.319626
51.749820,0.056503,-0.131332,-0.249378
51.854608,0.043370,-0.144007,-0.175771
51.959394,0.018784,-0.232427,-0.170274
52.064182,-0.038178,-0.109800,-0.018936
52.168968,0.019547,-0.090405,0.140189
52.273756,0.000153,0.040163,0.382085
52.378542,-0.027183,0.116519,0.256250
52.483330,-0.006719,0.111480,0.163249
52.588116,0.049937,0.091627,-0.085366
52.692904,0.009926,-0.159431,-0.252280
52.797690,-0.032680,-0.040316,-0.105982
52.902478,0.041996,0.018325,0.211506
53.007264,-0.044286,-0.016493,0.046730
53.112052,0.039552,-0.010995,-0.282059
53.216838,-0.011453,-0.216240,-0.226166
53.321626,-0.008705,-0.026114,0.145992
53.426412,-0.073454,0.171495,0.526550
53.531200,0.025197,0.128736,0.291374
53.635986,0.028099,0.090711,-0.112701
53.740773,-0.017104,-0.041079,-0.118810
53.845560,-0.035582,-0.103691,-0.069331
53.950347,0.023976,0.033597,0.135608
54.055133,0.052533,0.017715,0.151643
54.159921,-0.007941,0.016798,0.083533
54.264707,-0.007941,0.098346,0.032680
54.369495,-0.037720,0.201580,0.049020
