Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
223.465009,52.354065,4.921594,7.183540,3.230000,250.699997,3.790092,2.500000
224.306984,52.354051,4.921547,7.254537,4.080000,241.500000,3.790092,2.500000
225.306984,52.354034,4.921499,7.480254,3.580000,239.399994,3.790092,2.500000
226.306984,52.354019,4.921454,7.521101,3.560000,240.600006,3.790092,2.500000
227.306984,52.354001,4.921406,6.634817,4.180000,237.300003,3.790092,2.500000
228.306984,52.353985,4.921359,7.314089,3.410000,238.300003,3.790092,2.500000
229.306984,52.353972,4.921317,7.965535,3.420000,235.800003,3.790092,2.500000
230.306984,52.353957,4.921274,8.113439,3.560000,240.899994,3.790092,2.500000
231.306984,52.353943,4.921228,8.426502,3.710000,238.500000,3.790092,2.500000
232.306984,52.353933,4.921183,10.494883,3.150000,244.600006,3.790092,2.500000
233.306984,52.353923,4.921138,10.311981,3.610000,246.399994,3.790092,2.500000
234.306984,52.353913,4.921093,10.873952,3.300000,248.899994,3.790092,2.500000
235.306984,52.353901,4.921049,11.297372,3.260000,240.600006,3.790092,2.500000
236.306984,52.353887,4.921003,10.814172,3.730000,243.500000,3.790092,2.500000
237.306984,52.353872,4.920954,9.719273,3.660000,240.300003,3.790092,2.500000
238.306984,52.353856,4.920902,9.037763,3.890000,241.899994,3.790092,2.585560
239.306984,52.353840,4.920853,8.770317,3.480000,241.800003,3.790092,2.500000
240.306984,52.353826,4.920803,8.444036,3.750000,247.800003,3.790092,2.500000
241.306984,52.353818,4.920746,8.178000,3.900000,259.899994,3.790092,2.500000
242.306984,52.353821,4.920686,7.635734,4.180000,279.799988,3.790092,2.500000
243.306984,52.353834,4.920630,7.185890,3.770000,294.600006,3.790092,2.500000
244.306984,52.353851,4.920581,6.819065,3.700000,302.200012,3.790092,2.500000
245.306984,52.353868,4.920535,6.952913,3.530000,300.299988,3.790092,2.500000
246.306984,52.353883,4.920494,6.455841,3.010000,303.799988,3.790092,2.500000
247.306984,52.353907,4.920464,6.667160,3.840000,324.500000,3.790092,2.500000
248.306984,52.353937,4.920450,6.844808,3.490000,347.799988,3.790092,2.500000
249.306984,52.353968,4.920448,6.111514,3.430000,357.700012,3.790092,2.500000
250.306984,52.354001,4.920449,6.229541,3.760000,356.000000,3.790092,2.500000
251.306984,52.354034,4.920445,5.933932,3.660000,351.200012,3.790092,2.500000
252.306984,52.354067,4.920437,5.722975,3.700000,350.200012,3.790092,2.500000
